"","nbsp","sing.sp","FEve","FDiv","FDis","RaoQ","CWM.LMA_vieja","CWM.Densidad_hoja_vieja","CWM.Tamano_hoja_vieja","CWM.Densidad_tallo","CWM.Cont_mat_seca_tallo","plotcode"
"110085",5,5,0.888713542443007,NA,0.044909536070422,0.00204592841632938,220.952775949757,0.569712192132396,4.13274410824984,1.1386125831322,64.0255128190605,"110085"
"110094",5,5,0.875639218793502,NA,0.0563788539369678,0.00335491877833426,219.275758240084,0.542767298181882,3.13535177559615,1.17313443959687,61.6799162543423,"110094"
"110158",5,5,0.571497941936644,NA,0.169123994392029,0.0387751389441736,202.882731126949,0.551017015186446,4.20903610809233,1.08963542392088,66.5484769460816,"110158"
"110160",5,5,0.881278166242683,NA,0.0389168084410519,0.00167864336304436,213.76872107115,0.55159353695249,4.17082835158479,1.13978051187805,61.90870651855,"110160"
"110397",5,5,0.939623428627355,NA,0.0658148575716807,0.00465351380243788,228.53512194254,0.629219662858896,3.582529119202,1.11396643290475,66.1480989845863,"110397"
"140897",5,5,0.754947414309984,NA,0.089241520790167,0.00994995492772066,240.808574770601,0.530734892433896,3.71837823599044,1.19281155784054,61.3632376720722,"140897"
"140933",5,5,0.95525610885244,NA,0.0600966589696301,0.00368326121665032,239.471713180469,0.526037191531961,4.32004267329082,1.13684546405018,60.8900177429205,"140933"
"141353",5,5,0.895761461677486,NA,0.0830155040865864,0.00876563465517684,214.044336925791,0.469409950366147,6.18319952887464,1.18740066945678,60.3948873740488,"141353"
"141364",6,6,0.902857755526396,NA,0.0802283172655354,0.0069637292069272,232.709913341464,0.53860620856169,5.34886529855509,1.19481246521185,65.4778583250267,"141364"
"141372",5,5,0.879262365529231,NA,0.0676970889913415,0.00493130355553194,221.004031287465,0.53835131747995,5.7071498745982,1.19191263455538,57.3376996272677,"141372"
"272850",5,5,0.934283678469414,NA,0.034516021719392,0.00127306981505641,176.229173520639,0.475950661357821,4.70533189650124,1.18314586049223,55.2667869087639,"272850"
"272894",5,5,0.832284231383518,NA,0.0603131540862779,0.00395771195402394,218.947679572813,0.540006910408481,3.12761796425359,1.19242579966147,59.6752276915853,"272894"
"320575",5,5,0.835158538407345,NA,0.0541213613946854,0.00418703266412205,119.57667064459,0.476142136975084,8.34300609590956,1.15610558716315,59.3217385299696,"320575"
"320580",5,5,0.90474243016248,NA,0.0597980652366481,0.00393133531325415,170.762531131355,0.523674091325634,3.92327447400715,1.14356664693883,56.6634627514372,"320580"
"320602",5,5,0.873700749980977,NA,0.0743109485984825,0.00600440373830302,194.534595683137,0.54980514309659,4.70677872007203,1.17972138605888,55.0500373071376,"320602"
"410143",5,5,0.903136308754555,NA,0.0621050999709157,0.00408661995057585,223.006456055901,0.563211532039936,4.50571282512225,1.15132016870899,65.7840053988606,"410143"
"410162",5,5,0.718279360983367,NA,0.0607089424202438,0.00493688995921236,216.699804736976,0.511488109659939,6.07506828659567,1.16395519599044,61.6659215695618,"410162"
"410273",5,5,0.914172866748309,NA,0.0596248180462785,0.00387252706329672,208.421703109886,0.580620330566137,4.00036245711718,1.14145969747617,60.1930970102153,"410273"
"410283",5,5,0.83962584347707,NA,0.0705850428765976,0.00525111486736049,196.982074259712,0.520390770540311,4.99872586367881,1.13065128072948,58.951971230893,"410283"
"410296",5,5,0.342047977026207,NA,0.0813281068621609,0.01465996732395,223.85612687344,0.558624781434364,4.3032223217109,1.12283808586054,61.8848541871451,"410296"
"450101",5,5,0.943619224293817,NA,0.0453917504667709,0.00226561386072471,238.492977430894,0.560660811500378,3.89478735673648,1.12481249340431,62.4428831529423,"450101"
"450176",5,5,0.786514943209882,NA,0.110670887873742,0.0138743034586717,262.882297537861,0.640495773426372,4.1063561878282,1.13775534760315,62.3489349564311,"450176"
"450203",5,5,0.777075979369701,NA,0.0576143327295617,0.00373451285544602,241.131356042701,0.476726126283978,4.93636732438128,1.1421151504172,64.3291275514468,"450203"
"450265",5,5,0.880475751848887,NA,0.0749048143803372,0.00564405205248852,213.909588327581,0.476372628775006,4.95521891767869,1.12381587996421,66.2869057321247,"450265"
"451383",5,5,0.780013570702288,NA,0.0692930934620655,0.00574722767193588,231.840215337772,0.545743949242944,2.85996495065598,1.20382842444291,59.4841741069731,"451383"
"490125",5,5,0.834640706669761,NA,0.0722549374178417,0.00571884821531757,227.319115678028,0.630175528143826,5.0724881270422,1.1121829277279,61.2300129553074,"490125"
"490299",5,5,0.756809197601063,NA,0.0584022953855996,0.00394438851858446,239.095314062388,0.582989767578575,3.79530428557175,1.08955293420741,62.6258448404975,"490299"
"490300",5,5,0.925607121805747,NA,0.0362646790968524,0.00142610440623903,219.91447352447,0.480745297858871,2.95616074989575,1.07768426628097,57.8022061078739,"490300"
"490525",5,5,0.882998773045408,NA,0.0388451934334537,0.00177724018263869,230.900722713654,0.572148337161593,3.55267243944754,1.12161959549706,65.2730004646963,"490525"
"490813",5,5,0.707419289285061,NA,0.136075059071467,0.0257979896368639,183.186363614124,0.411876948191507,4.73643401924438,1.0923352605809,63.3729424507706,"490813"
